2025-07-28 23:34:45 [INFO] - Logger inicializado
2025-07-28 23:34:45 [INFO] - Se encontraron 14 interfaces de red
2025-07-28 23:34:45 [INFO] - Compatibilidad WinPcap OK - La captura de paquetes ICMP debería funcionar
2025-07-28 23:34:46 [INFO] - Tema claro aplicado
2025-07-28 23:34:46 [INFO] - Tema claro aplicado
2025-07-28 23:57:55 [INFO] - Logger inicializado
2025-07-28 23:57:55 [INFO] - Se encontraron 14 interfaces de red
2025-07-28 23:57:55 [INFO] - Compatibilidad WinPcap OK - La captura de paquetes ICMP debería funcionar
2025-07-28 23:57:57 [INFO] - Tema claro aplicado
2025-07-28 23:57:57 [INFO] - Tema claro aplicado
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 9 - WAN Miniport (Network Monitor)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 8 - WAN Miniport (IPv6)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 7 - WAN Miniport (IP)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de red Bluetooth - Bluetooth Device (Personal Area Network)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Wi-Fi - Realtek RTL8723DE 802.11b/g/n PCIe Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: VMware Network Adapter VMnet8 - VMware Virtual Ethernet Adapter for VMnet8
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: VMware Network Adapter VMnet1 - VMware Virtual Ethernet Adapter for VMnet1
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 1 - Microsoft Wi-Fi Direct Virtual Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 7 - VirtualBox Host-Only Ethernet Adapter #4
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 6 - VirtualBox Host-Only Ethernet Adapter #3
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 3 - VirtualBox Host-Only Ethernet Adapter #2
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 2 - VirtualBox Host-Only Ethernet Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Loopback Pseudo-Interface 1 - Software Loopback Interface 1
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet - Realtek PCIe GbE Family Controller
2025-07-28 23:58:33 [INFO] - Total de interfaces detectadas: 14
2025-07-28 23:58:43 [INFO] - Creando capturer para interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Filtro actual: ''
2025-07-28 23:58:43 [INFO] - Iniciando captura en interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Captura iniciada en interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Filtro aplicado: 
2025-07-28 23:58:43 [INFO] - Usando interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Usando modo de captura WinPcap/Npcap
2025-07-28 23:58:43 [INFO] - Captura iniciada correctamente
2025-07-28 23:58:43 [INFO] - Paquete #1 capturado: Ethernet, ARP - 42 bytes
2025-07-28 23:58:43 [INFO] - Paquete #2 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:43 [INFO] - Paquete #3 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:43 [INFO] - Paquete #4 capturado: Ethernet, ARP - 42 bytes
2025-07-28 23:58:43 [INFO] - Paquete #5 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:44 [INFO] - Paquete #6 capturado: Ethernet, IP, TCP - 164 bytes
2025-07-28 23:58:44 [INFO] - Paquete #7 capturado: Ethernet, IP, TCP - 164 bytes
2025-07-28 23:58:44 [INFO] - Paquete #8 capturado: Ethernet, IP, TCP - 54 bytes
2025-07-28 23:58:44 [INFO] - Usando modo de captura WinPcap/Npcap
2025-07-28 23:58:44 [INFO] - Paquete #9 capturado: Ethernet, ARP - 42 bytes
2025-07-28 23:58:44 [INFO] - Paquete #10 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #11 capturado: Ethernet, IP, UDP - 137 bytes
2025-07-28 23:58:44 [INFO] - Paquete #12 capturado: Ethernet, IP, UDP - 69 bytes
2025-07-28 23:58:44 [INFO] - Paquete #13 capturado: Ethernet, IP, UDP - 70 bytes
2025-07-28 23:58:44 [INFO] - Paquete #14 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #15 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #16 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #17 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #18 capturado: Ethernet, IP, UDP - 156 bytes
2025-07-28 23:58:44 [INFO] - Paquete #19 capturado: Ethernet, IP, UDP - 1288 bytes
2025-07-28 23:58:44 [INFO] - Paquete #20 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #21 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #22 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #23 capturado: Ethernet, IP, UDP - 80 bytes
2025-07-28 23:58:44 [INFO] - Paquete #24 capturado: Ethernet, IP, UDP - 74 bytes
2025-07-28 23:58:44 [INFO] - Paquete #25 capturado: Ethernet, IP, UDP - 75 bytes
2025-07-28 23:58:44 [INFO] - Paquete #26 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #27 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #28 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #29 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:44 [INFO] - Paquete #30 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #31 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #32 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:44 [INFO] - Paquete #33 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:44 [INFO] - Paquete #34 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #35 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #36 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #37 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:44 [INFO] - Paquete #38 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #39 capturado: Ethernet, IP, UDP - 74 bytes
